sector,site_description_local,latitude,longitude,import,road
cameras_report_nwregion_foi,03125 M62 25/0B J9 J8 WB J9 TO J8,53.4197,357.378,Y,M62 
cameras_report_nwregion_foi,03126 M62 26/0A J9 EB J9 APPROACH,53.4222,357.392,Y,M62 
cameras_report_nwregion_foi,31268 M62 26/8A J9 WINWICK,53.4229,357.404,Y,M62 
cameras_report_nwregion_foi,31286 M62 28/6B J10 WB CROFT,53.4236,357.428,Y,M62 
cameras_report_nwregion_foi,M62 WB CROFT,53.425,357.438,Y,M62 
cameras_report_nwregion_foi,31294 M62 29/4B J10 M6 CROFT INTER,53.4257,357.444,Y,M62 
cameras_report_nwregion_foi,31298 M62 29/8B J10 M6 CROFT INTER,53.4268,357.448,Y,M62 
cameras_report_nwregion_foi,03131 M62 31/0B J10 WB CROFT,53.4308,357.46,Y,M62 
cameras_report_nwregion_foi,M62 33/2B J11B J12B,53.4344,357.496,Y,M62 
cameras_report_nwregion_foi,M62 34/4A J11 J12,53.4364,357.515,Y,M62 
cameras_report_nwregion_foi,M62 35/8A J11 J12,53.4397,357.535,Y,M62 
cameras_report_nwregion_foi,M62 35/9B J11B J12B,53.4397,357.536,Y,M62 
cameras_report_nwregion_foi,M62 37/3B J11 J12,53.4442,357.556,Y,M62 
cameras_report_nwregion_foi,M62 38/5B J11 J12,53.4507,-2.42922,Y,M62 
cameras_report_nwregion_foi,31400 M62 40/0A J11 J12,53.4611,357.585,Y,M62 
cameras_report_nwregion_foi,M62 40/3B J11 J12,53.4628,357.588,Y,M62 
cameras_report_nwregion_foi,M62 41/2A J11 J12,53.4697,357.596,Y,M62 
cameras_report_nwregion_foi,M62 41/7A J11 J12,53.474,357.599,Y,M62 
cameras_report_nwregion_foi,M62 42/2A J11 J12,53.4781,357.602,Y,M62 
cameras_report_nwregion_foi,31429 M62 42/9B J12 J11.,53.4825,357.609,Y,M62 
cameras_report_nwregion_foi,M62 43/1A J11 12A,53.485,357.605,Y,M62 
cameras_report_nwregion_foi,M62 43/6A J12A,53.4861,357.618,Y,M62 
cameras_report_nwregion_foi,M62 44/1A J12A,53.4883,357.621,Y,M62 
cameras_report_nwregion_foi,M62 56/2A J18,53.5496,357.738,Y,M62 
cameras_report_nwregion_foi,31565 M62 56/5B J18 SIMISTER EST,53.5502,357.741,Y,M62 
cameras_report_nwregion_foi,31577 M62 57/7A J18 J19 FARM BR,53.5585,357.754,Y,M62 
cameras_report_nwregion_foi,31592 M62 59/2A J18 19 BIRCH,53.5683,357.769,Y,M62 
cameras_report_nwregion_foi,31609 M62 60/9A J19 HEYWOOD,53.5756,357.791,Y,M62 
cameras_report_nwregion_foi,M62 62/5A J19 J20,53.5835,357.811,Y,M62 
cameras_report_nwregion_foi,31647 M62 64/7K J20 THORNHAM,53.5879,357.843,Y,M62 
cameras_report_nwregion_foi,31692 M62 69/2A J21 J22 MILNROW E,53.6072,357.902,Y,M62 
